ActivityCode,Activity
26,"Computer, electronic and optical products"
261,Electronic components and boards
2610,Electronic components and boards
262,Computers and peripheral equipment
2620,Computers and peripheral equipment
263,Communication equipment
2630,Communication equipment
264,Consumer electronics
2640,Consumer electronics
265,"Measuring,testing equipment; watches, etc."
2651,"Measuring/testing/navigating equipment,etc."
2652,Watches and clocks
266,"Irradiation/electromedical equipment,etc."
2660,"Irradiation/electromedical equipment,etc."
267,Optical instruments and photographic equipment
2670,Optical instruments and photographic equipment
268,Magnetic and optical media
2680,Magnetic and optical media
27,Electrical equipment
271,"Electric motors,generators,transformers,etc."
2710,"Electric motors,generators,transformers,etc."
272,Batteries and accumulators
2720,Batteries and accumulators
273,Wiring and wiring devices
2731,Fibre optic cables
2732,Other electronic and electric wires and cables
2733,Wiring devices
274,Electric lighting equipment
2740,Electric lighting equipment
275,Domestic appliances
2750,Domestic appliances
279,Other electrical equipment
2790,Other electrical equipment
28,Machinery and equipment n.e.c.
281,General-purpose machinery
2811,"Engines/turbines,excl.aircraft,vehicle engines"
2812,Fluid power equipment
2813,"Other pumps, compressors, taps and valves"
2814,"Bearings, gears, gearing and driving elements"
2815,"Ovens, furnaces and furnace burners"
2816,Lifting and handling equipment
2817,"Office machinery, excl.computers,etc."
2818,Power-driven hand tools
2819,Other general-purpose machinery
282,Special-purpose machinery
2821,Agricultural and forestry machinery
2822,Metal-forming machinery and machine tools
2823,Machinery for metallurgy
2824,"Mining, quarrying and construction machinery"
2825,Food/beverage/tobacco processing machinery
2826,Textile/apparel/leather production machinery
2829,Other special-purpose machinery
29,"Motor vehicles, trailers and semi-trailers"
291,Motor vehicles
2910,Motor vehicles
292,"Automobile bodies, trailers and semi-trailers"
2920,"Automobile bodies, trailers and semi-trailers"
293,Parts and accessories for motor vehicles
2930,Parts and accessories for motor vehicles
30,Other transport equipment
301,Building of ships and boats
3011,Building of ships and floating structures
3012,Building of pleasure and sporting boats
302,Railway locomotives and rolling stock
3020,Railway locomotives and rolling stock
303,Air and spacecraft and related machinery
3030,Air and spacecraft and related machinery
304,Military fighting vehicles
3040,Military fighting vehicles
309,Transport equipment n.e.c.
3091,Motorcycles
3092,Bicycles and invalid carriages
3099,Other transport equipment n.e.c.
31,Furniture
310,Furniture
3100,Furniture
32,Other manufacturing
321,"Jewellery, bijouterie and related articles"
3211,Jewellery and related articles
3212,Imitation jewellery and related articles
322,Musical instruments
3220,Musical instruments
323,Sports goods
3230,Sports goods
324,Games and toys
3240,Games and toys
325,Medical and dental instruments and supplies
3250,Medical and dental instruments and supplies
329,Other manufacturing n.e.c.
3290,Other manufacturing n.e.c.
33,Repair and installation of machinery/equipment
331,Repair of fabricated metal products/machinery
3311,Repair of fabricated metal products
3312,Repair of machinery
3313,Repair of electronic and optical equipment
3314,Repair of electrical equipment
3315,"Repair of transport equip., excl. motor vehicles"
3319,Repair of other equipment
332,Installation of industrial machinery/equipment
3320,Installation of industrial machinery/equipment
D,"Electricity, gas, steam & air conditioning"
35,"Electricity, gas, steam & air conditioning"
351,"Electric power generation, transmission"
352,Manufacture of gas
353,Steam and air conditioning supply
E,"Water supply;sewerage,waste management"
36,"Water collection, treatment and supply"
360,"Water collection, treatment and supply"
37,Sewerage
370,Sewerage
38,"Waste collection,treatment,disposal activities"
381,Waste collection
382,Waste treatment and disposal
383,Materials recovery
39,Remediation activities
390,Remediation activities
