scian_2023,nombre
212319,"Minería de otras piedras dimensionadas (minería de basalto, pizarra, cantera y sillar)"
212321,Minería de arena y grava para la construcción 
212322,Minería de tezontle y tepetate 
212325,Minería de caolín 
212329,Minería de otras arcillas y de otros minerales refractarios 
212392,Minería de piedra de yeso 
212311,Minería de piedra caliza (minería de marga)
212393,Minería de barita 
212394,Minería de roca fosfórica 
212395,Minería de fluorita 
212397,Minería de azufre 
212398,Minería de minerales no metálicos para productos químicos 
212399,Minería de otros minerales no metálicos (minería de pirita y pirrotina)
212399,Minería de otros minerales no metálicos (extracción de turba)
212391,Minería de sal 
311940,Elaboración de condimentos y aderezos (refinación de sal)
212319,Minería de otras piedras dimensionadas (minería de mica)
212323,Minería de feldespato 
212324,Minería de sílice 
212396,Minería de grafito 
212399,"Minería de otros minerales no metálicos (minería de asbesto, gemas minerales, calcita, talco blanco, y otros minerales no metálicos n.c.p.*)"
213111,Perforación de pozos petroleros y de gas 
488990,Otros servicios relacionados con el transporte (licuefacción de gas natural con fines de transporte)
213119,"Otros servicios relacionados con la minería (exploración o prospección minera exclusiva para campos petroleros y mineros en alguna de las fases necesarias para la explotación de yacimientos mineros, petroleros y de gas, y otros servicios de apoyo a la minería n.c.p.*)"
311412,Congelación de guisos y otros alimentos preparados (elaboración de carnes congeladas preparadas)
311611,"Matanza de ganado, aves y otros animales comestibles "
311612,"Corte y empacado de carne de ganado, aves y otros animales comestibles "
311613,"Elaboración de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles (elaboración de embutidos y otras conservas de carne)"
311614,Elaboración de manteca y otras grasas animales comestibles 
311710,"Preparación y envasado de pescados y mariscos (elaboración y conservación de pescado, crustáceos y moluscos)"
311214,Elaboración de harina de otros productos agrícolas (elaboración de harina de papa)
311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate (elaboración de jaleas)"
311411,Congelación de frutas y verduras 
311421,Deshidratación de frutas y verduras 
311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación 
311910,Elaboración de botanas (elaboración de botanas a base de papa y de cacahuate)
311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas (elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas a base de frutas)"
311940,Elaboración de condimentos y aderezos (elaboración de concentrados y aderezos de frutas y hortalizas)
311993,Elaboración de alimentos frescos para consumo inmediato (elaboración de ensaladas de frutas y verduras frescas para consumo inmediato)
311999,Elaboración de otros alimentos procesados y envasados (corte y pelado y envasado de frutas y verduras)
311222,Elaboración de aceites y grasas vegetales comestibles (elaboración de aceites y grasas de origen vegetal excepto aceite de maíz)
311710,Preparación y envasado de pescados y mariscos (elaboración de aceite de pescado)
311511,Elaboración de leche líquida 
311512,"Elaboración de leche en polvo, condensada y evaporada (elaboración de leche en polvo, condensada y evaporada)"
311513,Elaboración de derivados y fermentos lácteos (elaboración de derivados de la leche y fermentos lácteos)
311520,Elaboración de helados y paletas 
311211,Beneficio del arroz 
311212,Elaboración de harina de trigo 
311213,Elaboración de harina de maíz 
311214,"Elaboración de harina de otros productos agrícolas (elaboración de harina de arroz, avena, cebada, frijol, soya y de otros productos agrícolas n.c.p.*)"
311230,Elaboración de cereales para el desayuno 
311820,Elaboración de galletas y pastas para sopa (elaboración de harinas premezcladas)
311221,Elaboración de féculas y otros almidones y sus derivados 
311222,Elaboración de aceites y grasas vegetales comestibles (elaboración de aceite de maíz)
311830,Elaboración de tortillas de maíz y molienda de nixtamal (molienda de nixtamal)
311811,Panificación industrial 
311812,Panificación tradicional 
311813,Elaboración de tortillas de harina de trigo de forma tradicional 
311820,Elaboración de galletas y pastas para sopa (elaboración de galletas)
311830,Elaboración de tortillas de maíz y molienda de nixtamal (elaboración de tortillas de maíz)
311910,Elaboración de botanas (elaboración de botanas a base de maíz)
311311,Elaboración de azúcar de caña 
311319,Elaboración de otros azúcares 
311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate (elaboración de chicles, bombones, chiclosos, caramelos macizos, fruta cristalizada, confitada y glaseada)"
311350,Elaboración de chocolate y productos de chocolate 
311412,Congelación de guisos y otros alimentos preparados (elaboración de pastas congeladas)
311423,Conservación de guisos y otros alimentos preparados por procesos distintos a la congelación (elaboración de pastas preparadas no congelada)
311820,Elaboración de galletas y pastas para sopa (elaboración de pastas para sopa)
311993,Elaboración de alimentos frescos para consumo inmediato (elaboración de pastas preparadas para consumo inmediato)
311412,Congelación de guisos y otros alimentos preparados (elaboración de pizza y guisos congelados)
311423,Conservación de guisos y otros alimentos preparados por procesos distintos a la congelación (elaboración de sopas y guisos no congelados)
311710,Preparación y envasado de pescados y mariscos (elaboración de guisos a base de pescados y mariscos)
311999,Elaboración de otros alimentos procesados y envasados (elaboración de sopas deshidratas hechas de ingredientes comprados)
311412,Congelación de guisos y otros alimentos preparados (elaboración de sopas congeladas)
311423,"Conservación de guisos y otros alimentos preparados por procesos distintos a la congelación (elaboración de salsas, moles, alimentos colados y picados para bebé, y de concentrados para caldos y sopas)"
311512,"Elaboración de leche en polvo, condensada y evaporada (elaboración de fórmulas de leche para lactantes y de uso dietético)"
311513,Elaboración de derivados y fermentos lácteos (elaboración de quesos sintéticos y de imitación)
311613,"Elaboración de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles (elaboración de extractos y jugos de carne)"
311710,Preparación y envasado de pescados y mariscos (elaboración de sopas de pescados y mariscos)
311921,Beneficio del café 
311922,Elaboración de café tostado y molido destinado a unidades que lo comercializan 
311923,Elaboración de café instantáneo 
311924,Preparación y envasado de té 
311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas (elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas que no son a base frutas)"
311940,"Elaboración de condimentos y aderezos (elaboración de especias, salsas y condimentos, mayonesa, mostaza y vinagre)"
311991,Elaboración de gelatinas y otros postres en polvo 
311992,Elaboración de levadura 
311993,"Elaboración de alimentos frescos para consumo inmediato (elaboración de sándwiches y pizzas frescas, flanes, budines, y otros alimentos para consumo inmediato)"
311999,"Elaboración de otros alimentos procesados y envasados (elaboración de huevo procesado, corte y pelado de papas, procesamiento de miel, y de otros productos alimenticios n.c.p.*)"
311110,Elaboración de alimentos balanceados para animales 
312131,Elaboración de bebidas alcohólicas a base de uva 
312141,Elaboración de ron y otras bebidas destiladas de caña 
312144,Elaboración de tequila 
312145,Elaboración de mezcal 
312149,Elaboración de otras bebidas destiladas 
312132,Elaboración de pulque 
312139,Elaboración de sidra y otras bebidas fermentadas 
311215,Elaboración de malta 
312120,Elaboración de cerveza 
312111,Elaboración de refrescos y otras bebidas no alcohólicas 
312112,Purificación y embotellado de agua 
312210,Beneficio del tabaco 
312221,Elaboración de cigarros 
312222,Elaboración de puros y otros productos de tabaco 
313111,"Preparación e hilado de fibras duras naturales (preparación e hilado de fibras duras naturales, como henequén, ixtle y palma)"
313112,Preparación e hilado de fibras blandas naturales 
313113,Fabricación de hilos para coser y bordar 
313210,Fabricación de telas anchas de tejido de trama 
313310,Acabado de productos textiles 
313320,Fabricación de telas recubiertas (recubrimiento de telas)
314991,"Confección, bordado y deshilado de productos textiles "
323119,Impresión de formas continuas y otros impresos (impresión sobre productos textiles)
313240,Fabricación de telas de tejido de punto (fabricación de tejidos de punto y ganchillo)
313240,"Fabricación de telas de tejido de punto (tejido de manteles, colchas y carpetas de tejido de punto)"
314120,"Confección de cortinas, blancos y similares (confección de cortinas, sábanas, colchas, cobertores y productos similares)"
314911,Confección de costales (confección de costales)
314912,Confección de productos de textiles recubiertos y de materiales sucedáneos 
314999,"Fabricación de banderas y otros productos textiles no clasificados en otra parte (fabricación de banderas, banderines, estandartes, insignias y gallardetes)"
336360,"Fabricación de asientos y accesorios interiores para vehículos automotores (fabricación de cinturones de seguridad, fundas para volantes y para asientos de materiales textiles)"
337920,Fabricación de persianas y cortineros (fabricación de persianas de materiales textiles)
314110,Fabricación de alfombras y tapetes 
314999,Fabricación de banderas y otros productos textiles no clasificados en otra parte (fabricación de alfombras de material comprado)
314992,"Fabricación de redes y otros productos de cordelería (fabricación de cuerdas, cordeles, bramantes y redes)"
313220,Fabricación de telas angostas de tejido de trama y pasamanería 
313230,Fabricación de telas no tejidas (comprimidas) 
313240,Fabricación de telas de tejido de punto (fabricación de telas de encaje de punto)
314992,Fabricación de redes y otros productos de cordelería (fabricación de cuerdas textiles para llantas)
314999,Fabricación de banderas y otros productos textiles no clasificados en otra parte (fabricación de otros productos textiles n.c.p.*)
315999,"Confección de otros accesorios y prendas de vestir no clasificados en otra parte (fabricación de adornos textiles para accesorios de vestir, y de otros productos textiles n.c.p.*)"
322220,Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados (fabricación de cintas impregnadas y recubiertas)
335132,Fabricación de lámparas ornamentales (fabricación de mantas incandescentes)
336360,Fabricación de asientos y accesorios interiores para vehículos automotores (fabricación de accesorios textiles para interiores de vehículos)
339940,"Fabricación de artículos y accesorios para escritura, pintura, dibujo y actividades de oficina (fabricación de lienzos preparados para pintores)"
339999,Otras industrias manufactureras (fabricación de juntas textiles)
314999,Fabricación de banderas y otros productos textiles no clasificados en otra parte (fabricación de pañales de tela)
315210,"Confección de prendas de vestir de cuero, piel y materiales sucedáneos (confección de prendas de vestir de cuero)"
315221,Confección en serie de ropa interior y de dormir 
315222,Confección en serie de camisas 
315223,Confección en serie de uniformes 
315224,Confección en serie de disfraces y trajes típicos 
315225,Confección de prendas de vestir sobre medida 
315229,Confección en serie de otra ropa exterior de materiales textiles 
315991,Confección de sombreros y gorras 
315999,"Confección de otros accesorios y prendas de vestir no clasificados en otra parte (confección de corbatas, cinturones, chales, y otros accesorios de vestir n.c.p.*)"
316999,"Fabricación de otros productos de cuero, piel y materiales sucedáneos (fabricación de accesorios de cuero y piel de uso industrial)"
339999,Otras industrias manufactureras (fabricación de redes para cabello)
315210,"Confección de prendas de vestir de cuero, piel y materiales sucedáneos (confección de prendas de vestir de piel)"
315999,Confección de otros accesorios y prendas de vestir no clasificados en otra parte (confección de guantes y mitones)
315121,Fabricación de calcetines y medias de tejido de punto 
315122,Fabricación de ropa interior de tejido de punto 
315123,Fabricación de ropa exterior de tejido de punto 
316110,Curtido y acabado de cuero y piel 
314911,"Confección de costales (confección de sacos y bolsas para embalaje de cuero, piel y similares)"
316991,"Fabricación de bolsos de mano, maletas y similares "
316999,"Fabricación de otros productos de cuero, piel y materiales sucedáneos (fabricación de productos de talabartería como sillas para montar, fuetes, arreos, estuches, correas para reloj, fundas, y otros productos de cuero y piel n.c.p.*)"
339999,Otras industrias manufactureras (fabricación de juntas de cuero)
316211,Fabricación de calzado con corte de piel y cuero 
316212,Fabricación de calzado con corte de tela 
316213,Fabricación de calzado de plástico 
316214,Fabricación de calzado de hule 
316219,Fabricación de huaraches y calzado de otro tipo de materiales 
316999,"Fabricación de otros productos de cuero, piel y materiales sucedáneos (fabricación de partes para calzado de cuero y piel)"
113310,"Aprovechamiento de árboles (producción de trozas, astillas y rajas de madera)"
321111,Aserraderos integrados (aserrado de madera en aserraderos integrados)
321112,Aserrado de tablas y tablones 
321113,Tratamiento de la madera y fabricación de postes y durmientes 
321910,Fabricación de productos de madera para la construcción (aserrado y cepillado de madera para la construcción)
321999,Fabricación de otros productos de madera (fabricación de harina y lana de madera)
321111,Aserraderos integrados (fabricación de laminados y aglutinados de madera en aserraderos integrados)
321210,"Fabricación de laminados y aglutinados de madera (fabricación de chapa de madera, aglutinados, paneles y tableros laminados)"
321111,Aserraderos integrados (fabricación de productos de madera para la construcción en aserraderos integrados)
321210,Fabricación de laminados y aglutinados de madera (fabricación de estructuras de madera laminada)
321910,"Fabricación de productos de madera para la construcción (fabricación de puertas, ventanas, parqués, duelas, canceles, zoclo, mamparas, armarios, estructuras para techos y pisos y escaleras fijas de madera)"
321999,Fabricación de otros productos de madera (fabricación de casas prefabricadas para la construcción)
337210,Fabricación de muebles de oficina y estantería (fabricación de mamparas de madera)
321111,Aserraderos integrados (fabricación de contenedores de madera en aserraderos integrados)
321920,Fabricación de productos para embalaje y envases de madera (fabricación de envases y contenedores de madera para embalaje)
321993,Fabricación de productos de madera de uso industrial 
313111,"Preparación e hilado de fibras duras naturales (tejido de tapetes, petates, cestos, canastos, sombreros, bolsos de mano, cuerdas, costales y artículos decorativos de palma y de fibras duras similares preparadas compradas)"
321111,Aserraderos integrados (fabricación de productos de madera de uso industrial y doméstico en aserraderos integrados)
321920,Fabricación de productos para embalaje y envases de madera (fabricación de estuches de madera para embalaje)
321991,"Fabricación de productos de materiales trenzables, excepto palma "
321992,Fabricación de artículos y utensilios de madera para el hogar 
321999,"Fabricación de otros productos de madera (fabricación de corcho y sus productos, partes para calzado, y otros productos de madera n.c.p.*)"
337920,Fabricación de persianas y cortineros (fabricación de persianas de madera)
339940,"Fabricación de artículos y accesorios para escritura, pintura, dibujo y actividades de oficina (fabricación de bastidores de madera para lienzos de pintura artística)"
339950,Fabricación de anuncios y señalamientos (fabricación de anuncios de madera)
339999,Otras industrias manufactureras (fabricación de juntas de corcho y marcos de madera)
322110,Fabricación de pulpa 
322121,Fabricación de papel en plantas integradas (fabricación de pulpa y papel en plantas integradas)
322122,Fabricación de papel a partir de pulpa (fabricación de papel a partir de pulpa)
322131,Fabricación de cartón en plantas integradas (fabricación de cartón en plantas integradas)
322132,Fabricación de cartón y cartoncillo a partir de pulpa (fabricación de cartón y cartoncillo a partir de pulpa)
322220,Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados (fabricación de papel recubierto y tratado)
322299,Fabricación de otros productos de cartón y papel (fabricación de papel plisado o crepé)
339940,"Fabricación de artículos y accesorios para escritura, pintura, dibujo y actividades de oficina (fabricación de papel esténcil)"
322121,Fabricación de papel en plantas integradas (fabricación de envases de papel en plantas integradas)
322122,Fabricación de papel a partir de pulpa (fabricación de papel corrugado a partir de pulpa)
322131,Fabricación de cartón en plantas integradas (fabricación de cartón corrugado y contenedores de cartón en plantas integradas)
322132,Fabricación de cartón y cartoncillo a partir de pulpa (fabricación de cartón corrugado a partir de pulpa)
322210,Fabricación de envases de cartón (fabricación de envases de cartón)
322220,Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados (fabricación de bolsas de papel)
322299,Fabricación de otros productos de cartón y papel (fabricación de productos de papel troquelado)
322121,Fabricación de papel en plantas integradas (fabricación de productos de papel en plantas integradas)
322122,Fabricación de papel a partir de pulpa (fabricación de papel higiénico y productos de papelería a partir de pulpa)
322131,Fabricación de cartón en plantas integradas (fabricación de productos de cartón en plantas integradas)
322210,Fabricación de envases de cartón (fabricación de carretes y tubos de cartón)
322220,Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados (fabricación de cintas y etiquetas engomadas)
322230,Fabricación de productos de papelería 
322291,Fabricación de pañales desechables y productos sanitarios 
322299,"Fabricación de otros productos de cartón y papel (fabricación de productos moldeados de papel, vasos, platos desechables, confeti, filtros de papel, y otros productos de papel n.c.p.*)"
323119,Impresión de formas continuas y otros impresos (fabricación de álbumes)
339940,"Fabricación de artículos y accesorios para escritura, pintura, dibujo y actividades de oficina (fabricación de papel para copiar o transferir)"
339999,Otras industrias manufactureras (fabricación de juntas de papel y cartón)
323111,"Impresión de libros, periódicos y revistas "
323119,"Impresión de formas continuas y otros impresos (impresión de formas continuas para impresión y hojas membretadas con sello de agua, impresión de catálogos, agendas, folletos, programas de espectáculos, calendarios, tarjetas postales, tarjetas de felicitación, litografías, facturas, invitaciones, almanaques, y otros impresos n.c.p.*)"
339950,Fabricación de anuncios y señalamientos (fabricación de señalamientos impresos)
323120,Industrias conexas a la impresión 
334610,Fabricación y reproducción de medios magnéticos y ópticos (reproducción de grabaciones)
324199,Fabricación de coque y otros productos derivados del petróleo refinado y del carbón mineral 
325190,Fabricación de otros productos químicos básicos orgánicos (fabricación de destilados de alquitrán)
324110,Refinación de petróleo 
324191,Fabricación de aceites y grasas lubricantes 
325110,Fabricación de petroquímicos básicos del gas natural y del petróleo refinado (fabricación de petroquímicos del petróleo refinado)
312143,Obtención de alcohol etílico potable 
325110,"Fabricación de petroquímicos básicos del gas natural y del petróleo refinado (fabricación de petroquímicos básicos como hidrocarburos cíclicos y acíclicos de gas natural, hidrocarburos líquidos y del petróleo refinado)"
325120,Fabricación de gases industriales 
325130,Fabricación de pigmentos y colorantes sintéticos 
325180,"Fabricación de otros productos químicos básicos inorgánicos (fabricación de bases y sales inorgánicas, cloro, negro de humo, y enriquecimiento de minerales radiactivos)"
325190,"Fabricación de otros productos químicos básicos orgánicos (fabricación de ácidos, anhídridos, alcoholes de uso industrial, cetonas, aldehídos, ácidos grasos, aguarrás, colofonia, colorantes naturales no comestibles, productos destilados de la madera, y otros productos químicos básicos orgánicos n.c.p.*)"
325310,Fabricación de fertilizantes y composta (fabricación de ácido fosfórico)
325610,"Fabricación de jabones, limpiadores y dentífricos (fabricación de sosa)"
325999,Fabricación de otros productos químicos (fabricación de agua destilada)
325180,Fabricación de otros productos químicos básicos inorgánicos (fabricación de cloruro amónico)
325310,Fabricación de fertilizantes y composta (fabricación de fertilizantes nitrogenados y naturales)
325211,Fabricación de resinas sintéticas 
325212,Fabricación de hules sintéticos 
325993,Fabricación de resinas de plásticos reciclados 
325320,"Fabricación de plaguicidas y otros agroquímicos, excepto fertilizantes y composta "
325610,"Fabricación de jabones, limpiadores y dentífricos (fabricación de desinfectantes de uso agropecuario)"
325190,Fabricación de otros productos químicos básicos orgánicos (fabricación de pigmentos naturales para pieles)
325510,Fabricación de pinturas y recubrimientos 
325520,Fabricación de adhesivos (fabricación de compuestos para calafatear)
325910,Fabricación de tintas para impresión 
325999,Fabricación de otros productos químicos (fabricación de colorantes textiles para uso doméstico)
339940,"Fabricación de artículos y accesorios para escritura, pintura, dibujo y actividades de oficina (fabricación de pinturas artísticas)"
325610,"Fabricación de jabones, limpiadores y dentífricos (fabricación de jabones, detergentes, suavizantes de telas, ceras, aromatizantes de ambiente, limpiadores dentífricos y pulidores)"
325620,"Fabricación de cosméticos, perfumes y otras preparaciones de tocador "
325999,Fabricación de otros productos químicos (fabricación de desengrasantes)
332999,Fabricación de otros productos metálicos (fabricación de fibras metálicas impregnadas con jabón)
339999,Otras industrias manufactureras (fabricación de mezclas aromáticas)
325190,Fabricación de otros productos químicos básicos orgánicos (fabricación de materiales sintéticos para perfumes y cosméticos)
325412,Fabricación de preparaciones farmacéuticas (fabricación de reactivos para diagnóstico)
325520,Fabricación de adhesivos (fabricación de adhesivos y pegamentos)
325610,"Fabricación de jabones, limpiadores y dentífricos (fabricación de mordientes y otros agentes para el acabado de textiles)"
325920,Fabricación de explosivos 
325991,Fabricación de cerillos 
325992,"Fabricación de películas, placas y papel fotosensible para fotografía "
325999,"Fabricación de otros productos químicos (fabricación de carbón activado, tintas para escritura, dibujo y calzado, fuegos artificiales y bengalas, anticongelantes sintéticos, agentes químicos, la extracción y procesamiento de aceites esenciales y concentrados de origen vegetal para uso industrial, procesamiento de grasas y aceites de origen animal no comestibles, y otros productos químicos n.c.p.*)"
332999,"Fabricación de otros productos metálicos (fabricación de detonadores, mechas y cebadores para municiones)"
314993,Fabricación de borras y estopas (fabricación de borras y estopas)
325220,Fabricación de fibras químicas (fabricación de fibras sintéticas)
325190,Fabricación de otros productos químicos básicos orgánicos (fabricación de ácido salicílico no medicinal)
325411,Fabricación de materias primas para la industria farmacéutica 
325412,Fabricación de preparaciones farmacéuticas (fabricación de medicamentos farmacéuticos y botánicos)
339112,Fabricación de material desechable de uso médico (fabricación de material de curación desechable)
326212,Revitalización de llantas 
