ciiu_rev_3,ciiu_rev_4
6511,6411
6519,6419
6591,6491
6592,6492
6592,6499
6599,6420
6599,6430
6599,6499
6599,6619
6599,7740
6599,9499
6601,6511
6601,6520
6602,6530
6602,6630
6603,6511
6603,6512
6603,6520
6711,6611
6712,6612
6712,6630
6719,6419
6719,6612
6719,6619
6720,6621
6720,6622
6720,6629
7010,4290
7010,6810
7020,6820
7020,8110
7111,7710
7111,7730
7112,7730
7113,7730
7121,7730
7122,7730
7123,7730
7129,7730
7130,7721
7130,7722
7130,7729
7130,7730
7210,6202
7221,5820
7229,6201
7229,6202
7230,6202
7230,6311
7240,5811
7240,5812
7240,5813
7240,5819
7240,5820
7240,5920
7240,6010
7240,6020
7240,6312
7250,3312
7250,9511
7290,6209
7310,7210
7310,7220
7320,7220
7411,6910
7412,6920
7413,7320
7414,7010
7414,7020
7414,7490
7414,8550
7421,910
7421,990
7421,7110
7421,7410
7421,7490
7422,7120
7430,7310
7491,7810
7491,7820
7491,7830
7492,7490
7492,8010
7492,8020
7492,8030
7493,8121
7493,8129
7494,7420
7495,8292
7499,6399
7499,7310
7499,7410
7499,7490
7499,8211
7499,8219
7499,8220
7499,8230
7499,8291
7499,8299
7499,8550
7511,8411
7512,8412
7513,7990
7513,8413
7514,6810
7514,6820
7514,8411
7514,9101
7521,8421
7521,8890
7522,8422
7523,7120
7523,8423
7530,8430
8010,8510
8021,8521
8022,8522
8030,8530
8090,8522
8090,8542
8090,8549
8511,8610
8512,8620
8519,8690
8519,8710
8519,8720
8519,8730
8520,7500
8531,8720
8531,8730
8531,8790
8532,8550
8532,8810
8532,8890
9000,3700
9000,3811
9000,3812
9000,3821
9000,3822
9000,3900
9000,8129
9000,8130
9111,9411
9112,9412
9120,9420
9191,9491
9192,9492
9199,9499
9211,5911
9211,5912
9211,5913
9211,5920
9212,5914
9213,5911
9213,5920
9213,6010
9213,6020
9214,7990
9214,9000
9219,7990
9219,8542
9219,9000
9219,9321
9219,9329
9220,6391
9220,7420
9220,9000
9231,5912
9231,9101
9232,9102
9233,9103
9241,4922
9241,7990
9241,8541
9241,8549
9241,9311
9241,9312
9241,9319
9241,9329
9249,7810
9249,9200
9249,9329
9301,9601
9302,9602
9303,9603
9309,8541
9309,9609
9500,9700
9600,9810
9700,9820
9900,9900
