hs2012_code_upstream,hs2012_code_downstream
1206,2306
2843,9113
7210,8803
5511,6110
7408,8402
8210,2103
3917,8434
7403,8710
8526,8708
2621,6810
7202,7318
2716,7608
8515,7407
7502,9301
7219,8487
3301,1301
2909,3204
7806,3211
7223,8487
7206,7307
5106,5609
5302,5910
8468,8708
5401,5512
8601,8603
7223,9307
8482,8425
6005,4202
3906,6102
4003,4013
4702,5911
5303,5801
8420,8443
6912,6914
7213,7320
7219,8202
8543,8526
3905,3208
8538,8515
7222,9303
3307,3303
4113,6603
1505,6308
3305,6704
8514,7224
6307,6204
2307,2204
5106,6111
8541,8525
5606,5804
1511,3405
5603,5906
2519,3207
7614,8530
5801,6404
7226,8431
3808,808
3206,6909
7326,8711
8503,9029
8543,9008
7419,8711
3902,3304
8487,8208
7306,7323
7228,7307
5113,6301
5308,6206
3904,3920
8307,7308
1506,3403
5503,6003
5510,5802
3701,3706
5311,6304
7206,8481
8211,1601
1505,3004
7304,8450
5101,6504
5604,6403
3205,5906
8439,4802
7410,8803
2716,8507
5604,6113
2606,8215
5602,6305
2530,3811
1401,4602
4009,4012
8455,8432
7224,8201
3506,8537
2839,7004
7208,8708
8460,8461
8482,8466
8110,8533
7001,8609
5306,5904
2835,3824
8308,6206
3920,8477
1512,3403
7226,7321
7208,8702
3910,9113
6903,6910
3204,3705
3903,3506
7224,8215
8452,5810
2510,2510
5503,6505
8111,7218
5809,6217
5113,6306
6209,6217
4016,8413
7221,8201
7605,8502
2708,4005
8311,7308
2932,3003
5801,5514
7201,8409
7412,8608
1504,3826
7304,8408
8501,7322
2916,2937
2815,7016
7419,8213
7409,8514
2502,7214
2922,3307
1401,6504
7410,8501
7225,8201
301,305
3904,6401
2606,8418
7609,8428
2715,3214
4808,4202
7320,8608
8104,8308
7411,8512
2814,2929
7325,8503
3906,5511
8538,8516
7219,8207
2613,8455
3506,3405
3904,6203
2613,7223
5405,5408
2805,8311
4016,6403
2007,2106
4008,9020
4706,3703
5203,5514
2708,8417
4007,5904
4205,9113
5506,6303
5201,6116
8211,304
4706,4820
7310,401
2823,6906
5408,6303
5003,6308
3908,5515
5307,5901
7215,8408
303,2301
602,709
2817,3211
8402,4811
5401,5401
7204,7316
2823,6914
8473,8427
8452,6308
5308,6215
805,2205
7903,7224
3818,8525
5302,6502
7612,7612
7902,8418
102,202
5501,5512
8474,2605
3507,2007
7223,8206
5514,6507
8533,8537
8407,8710
4003,8711
5106,6216
5504,5607
7411,8605
7601,9111
5501,4601
2606,8608
7223,9302
7608,8476
3925,8544
2821,3208
5211,6405
8002,8301
8466,8452
8407,8705
7506,8481
2832,2205
8458,8703
7219,8213
4403,4801
4005,8480
4016,9021
7320,9114
6501,5704
3907,8715
8533,8518
8515,8901
2812,7009
8461,8455
2803,3212
7203,7205
3907,9018
6003,6104
5103,6217
2916,2942
4016,8535
2902,3819
8456,7612
8475,3207
2847,3821
106,208
9018,9021
202,2106
4403,4401
7604,9022
8407,8802
2704,7216
7614,8429
7601,8308
5601,6109
5002,6217
5507,6305
7221,8410
7206,8503
5507,6303
9305,9305
8105,8468
2510,6907
3907,9005
7229,8802
2530,6908
7305,8609
5809,6203
5403,5801
3803,4805
2939,3003
5604,6203
5601,6117
7407,8418
8535,8539
5112,6217
8501,8459
4303,6204
7412,8707
1203,1516
8113,9033
5306,4201
8301,9302
2601,9307
2716,7006
3404,3703
8454,7409
1502,410
1806,1905
905,1901
8415,8702
6305,1903
4401,4411
1201,105
3910,3210
2926,6403
8541,9104
8502,8454
8501,9032
2807,2931
7419,8307
7409,8415
4016,9003
102,2106
5401,5907
5408,6405
5606,4201
5604,6105
7326,8509
8420,8453
5514,5810
3403,6302
2529,7016
5202,4802
8420,7607
2929,3208
7305,8706
7205,8706
8545,9033
2918,3823
9033,8536
5302,6307
6006,6505
5203,5513
5604,5408
8504,8473
8412,8467
3917,3925
4003,6401
7217,9201
9032,8608
8482,8701
3921,8547
7503,8207
7203,7306
8204,8206
8514,6910
5505,5705
7608,8428
2810,7001
5909,5910
6307,6404
5401,4202
7214,8301
8542,8538
8479,8455
511,504
4010,8438
8482,8433
3206,5901
7208,8311
7608,8402
7406,3818
7604,8805
9032,8413
7204,7229
5104,5102
2823,3215
9104,8901
1521,3406
806,2204
8462,8802
7326,8474
8444,6107
5507,5513
7205,7211
2917,3006
2503,3605
103,3503
5303,4201
8101,8462
3812,3919
8609,303
5505,6213
8431,8431
2617,2846
3908,5404
3205,5911
8432,602
5906,6215
7419,8536
5903,5903
2518,6908
5111,5911
4008,8708
2601,2821
8108,9307
3203,3215
5103,5703
5208,6202
8438,405
6507,8449
4002,6403
4005,6406
9032,8451
7402,8454
7108,2843
5406,5705
8106,8454
7212,9111
5408,5401
8504,8509
5911,8449
8112,8515
6307,6107
2918,3004
7604,9111
7603,7118
4808,8441
2832,304
2917,3405
5604,6211
3907,5903
6111,6209
8420,4813
2926,3812
7419,9022
8546,9022
8310,8530
7215,8703
2904,3604
5902,5811
7605,8803
7218,7222
5606,5111
5110,6505
301,303
3504,2309
7209,7323
6003,5701
8538,9031
2940,2007
8482,8419
4706,4911
5403,6003
6006,6305
2815,3909
8708,8512
7608,8607
1515,2103
8420,5911
2919,3208
8515,8605
7220,8701
5604,6506
2846,6902
8474,2514
5110,6203
7412,8438
3917,8714
4701,6808
5601,5907
2924,3808
8103,8533
7408,8904
7201,7303
4016,8408
8419,8430
9002,9018
7326,7312
9001,8531
8101,6804
8468,8805
1517,2104
7310,2104
7505,8419
2504,8533
2841,2820
8208,4418
5111,6115
6909,8417
3917,8704
2819,7020
3403,8479
2832,813
8536,8537
7004,8513
7002,9006
7304,8901
5006,6210
5402,5905
5403,5907
7407,8906
4805,4813
8707,8702
7308,8701
3912,6205
3910,3922
8441,4805
6903,6905
8438,2002
3926,9111
3204,5702
5303,4601
5911,5807
3917,8707
8425,8430
3903,8481
7401,7406
2716,5510
7604,8403
7305,8479
7325,8205
3910,8444
2819,3202
7901,9306
3803,3208
8112,7228
7604,8415
7506,8606
7224,7227
8538,8531
7601,8302
2716,5902
3201,4114
5902,5906
7007,8714
5516,6201
5111,6215
5510,5810
3209,8424
8514,7114
2601,7213
3907,3214
4908,3207
2619,2517
7207,8604
2923,3304
3105,710
8104,7228
8202,4416
7219,7316
7325,8803
7505,8708
7219,8425
8424,1211
2805,3604
7325,8477
7604,8516
5511,6202
5202,6303
3925,8704
8411,8502
2821,3209
2507,6806
7905,8714
9026,9032
8468,7409
2902,2712
8201,601
8420,5804
602,910
1302,3302
6114,6109
2803,7226
2921,3824
4001,4012
8003,8302
2933,3004
1106,2309
4807,4820
8468,8534
2820,3824
3203,6302
7206,8439
2934,3004
7208,8202
4002,4008
5205,5803
4403,4808
3212,5907
1507,2104
7220,8708
5310,5807
1206,1512
5309,4201
7006,7014
2904,3214
7403,8309
5004,6117
8444,5807
8302,8304
3006,3822
3901,8415
5208,4201
2605,8105
8102,8462
9024,8708
3204,6108
7221,8468
7225,8308
8502,8419
7407,5605
4503,9201
5205,5702
5210,6309
8535,8607
3404,2712
2917,3003
7903,8308
5108,6109
5005,6306
5903,8546
8204,8448
4817,4910
3910,9020
7227,8710
7907,8484
8538,8539
5113,6405
7315,8419
5108,5703
3926,4601
5902,5602
708,709
7503,8714
5811,8715
7902,7117
2843,7117
4013,4012
3204,5801
3203,3809
8420,6302
8467,4407
810,808
8465,9208
7604,8608
7405,7410
7222,9111
3825,3825
2103,2106
7204,8605
8514,7612
2710,3214
7508,8532
7326,8805
7221,8711
7222,7306
2843,3818
4008,6813
3917,8418
7206,7213
3926,8431
9001,8486
8605,8702
7205,8201
8473,8456
8542,8521
6307,6208
8477,4009
2901,3906
5504,5806
7226,7323
8419,3925
7225,7310
7214,8426
7326,8205
4003,5904
3105,201
5806,6504
9026,8419
4810,4809
4707,4823
8543,8507
5101,6217
712,1902
7408,8502
7405,8507
7315,8701
5506,6507
2901,2707
1108,2007
8447,6106
9033,8517
306,2309
8541,8509
3810,7215
3203,2206
2812,7001
4005,4016
7406,8466
7310,2814
2716,7607
3805,3824
2806,3809
9033,8527
7228,7305
2601,7227
7304,9303
3921,6702
5202,6108
7224,8703
3212,8310
4014,3005
5902,6214
8002,8003
2905,3401
7210,8906
7404,8476
4413,4410
2942,2925
8112,8479
8468,7605
7616,8410
7602,9301
5402,8451
2801,2827
3920,8519
7305,8457
3901,5402
8440,4904
7218,7221
8412,8714
2501,1605
3404,8451
4012,8430
5401,6505
9029,9029
3909,3824
7226,8716
5402,6107
5004,6106
2919,3103
7508,8307
8455,7305
807,814
8209,8442
6305,2308
5511,5701
2813,3105
4805,4823
3904,6507
7320,8424
7802,3207
103,1602
6004,6116
5501,6504
7213,8802
7405,3810
2617,7802
5303,6213
703,2005
3908,6406
3801,3403
7411,8708
2843,7106
4703,4821
2716,8514
6813,8483
6111,6307
2008,813
5305,5703
8445,5810
8420,4004
6001,6213
5515,4201
5309,5901
7903,7905
5601,5513
2601,7202
8504,8543
5006,6107
7203,8202
5902,6203
9032,9024
4812,4811
5516,6502
2530,6815
4819,3704
7006,7017
7222,8705
8511,8436
7409,8711
5109,6114
5204,9113
3805,3911
5108,6301
7419,9305
5808,6502
8540,9032
2817,3209
7903,3212
7225,8481
8001,8007
7601,8455
7306,8602
5609,5902
5609,5514
3920,8530
404,2105
8473,8472
8453,4114
5511,5210
5201,6101
6805,5910
8444,5512
8456,8473
3211,3209
4114,9111
7315,7310
2916,3209
3902,3922
5201,5602
3921,3919
8417,7603
7902,8908
713,2103
4418,4406
2603,9301
9014,8904
3403,5805
7905,9113
7408,8406
5006,6104
1401,5607
1003,2203
8425,8479
5902,4201
5902,6001
8473,8464
5514,6216
7223,9108
2601,7323
7604,8301
3909,8484
7801,8310
1503,3406
8448,6308
7326,8702
8541,8534
4107,4205
7209,7312
5609,6308
7206,8402
2604,9302
8477,3214
8448,5407
2602,8454
8544,8476
8445,5908
2847,3808
8534,8415
7604,8487
1506,3401
4004,4012
7226,9307
2716,7224
5205,6202
5203,6504
8439,4812
8532,8415
8407,8701
3909,8215
7610,8430
7207,7317
3209,8705
7605,9112
3105,806
5005,6113
7205,8479
5206,5607
1903,3505
8413,8424
4012,8703
809,2105
2617,7220
3208,6102
104,3503
4412,9207
8454,7203
8417,2523
5205,6006
7311,9020
7325,8404
7005,8708
7325,8450
4007,8428
5604,6404
8307,9301
7419,9018
7502,9110
7228,8430
4701,4802
7315,8604
6217,5808
4412,8707
2530,7008
9107,8476
5407,6305
7404,8534
8451,6204
2902,4002
8515,7301
7217,8503
1205,1516
7409,8438
9013,9011
3806,3906
5007,6217
7223,8205
8111,8454
4702,4805
7308,8907
5404,6307
7601,9301
1504,2309
4009,8604
2942,3204
3809,5704
3102,809
2827,2903
5609,6005
6813,8708
5310,6211
3102,810
5606,6208
3815,3925
8501,8473
6003,6704
8482,8422
7202,7221
7319,6209
3817,3210
4008,4015
4009,8434
7412,8708
2917,3202
5306,6108
3909,8415
7318,8604
1505,3407
7212,7307
712,2005
7616,8902
3809,5514
7402,8517
8214,8211
1207,1518
2610,8454
8438,1103
8455,8905
2820,7219
3818,8538
3901,8537
7419,8607
7308,8708
7408,8505
8455,7410
7904,8455
3202,4114
8213,6303
707,2103
8430,2529
2506,6801
8455,8605
8112,8540
8470,8470
7616,7609
8504,8521
8102,7224
8541,8513
703,2001
8419,4811
7408,2716
3925,5607
4008,9003
7403,8402
7405,8503
6109,6307
8412,8703
7606,8704
7019,5910
8543,8434
7218,8706
2805,2841
5311,5908
3906,3005
3910,8504
2601,8207
3507,1901
5601,6704
8444,6217
3808,1004
5802,5907
3701,9008
7227,8713
7212,8902
8477,3812
5512,6216
2509,3214
7112,8542
7211,8429
7801,9302
4010,8476
3204,4802
8447,5809
3809,5904
7419,8514
7204,8479
7222,8462
7218,8805
5402,6205
5308,5911
8462,7325
5206,6213
4107,6216
8001,8310
2621,6909
7226,8215
7228,8403
3923,3925
8445,5404
7221,8710
9013,8528
3103,701
1511,3401
3908,3920
5309,6308
8445,5108
5308,4823
3907,8481
3925,8713
8456,8487
7320,8450
6113,6106
7604,9302
105,2104
3301,3806
2106,2007
5202,6505
3506,4420
6903,6914
5505,6005
2614,3212
1102,2103
8409,8802
7215,8906
7221,6603
3902,8609
7005,7011
5609,6006
7418,7418
8109,8311
6903,6907
4115,6216
7405,8504
8503,8709
5811,6303
8479,8405
6309,6310
9101,9107
4706,4901
7901,9301
5516,6111
7604,9003
3206,3213
7209,7302
7408,8431
8503,8714
7904,8504
2902,3824
8211,203
5403,6213
7215,8430
8701,709
5605,9113
3203,604
4421,8201
7221,8307
4006,6002
2843,7118
7401,7411
6117,6106
7215,7311
6213,6203
4503,9205
7503,8536
8417,6914
5810,6106
2912,3307
4105,4115
5307,6203
9014,8906
7019,7009
3909,8512
1603,1604
4103,4105
8534,8503
2916,3303
7411,8474
4705,4813
2505,7016
1207,1205
6003,4303
8435,8435
7316,8901
5108,6209
4016,8713
3806,3809
5003,6208
4908,6105
7305,7318
6704,6307
3809,5902
8412,8483
7212,7317
7419,8466
4112,6304
5207,5905
7228,7310
2525,3214
8448,5806
1701,2102
4001,6406
2940,1806
7404,8517
8455,8706
6906,6910
7318,8420
2619,7322
7315,8716
7326,8446
8457,8302
8501,8906
6303,5905
5516,5903
3101,1211
7109,9101
7604,5605
7010,2009
7901,7224
7214,8708
2810,3809
7214,7216
7223,8716
7405,9303
1103,1904
7224,8428
8460,7212
8487,8480
2820,8545
6006,5909
7315,8426
810,2204
6006,9021
7201,7304
2923,3824
4801,4904
3506,9201
7216,8905
7405,9302
2519,6910
3215,4801
8483,8713
7606,8701
8506,8502
5606,6405
8503,8705
306,306
7224,8431
8468,8475
7304,8412
8545,8516
7307,8419
7004,8530
8462,9303
7903,7117
2711,6807
2528,7002
7409,8710
3924,3924
8479,8526
7216,8205
1005,103
8514,7227
8904,8902
5506,5603
5516,6214
4822,4909
8462,7302
409,2208
7221,8424
8473,8432
4008,8442
3915,8707
7109,8301
9031,8449
2825,3604
1512,2106
7202,8474
8420,4016
8531,8530
7326,8203
7113,7115
5515,6204
5102,5602
8438,1804
8450,8451
7109,8454
5310,5307
8401,8502
7318,8454
814,2103
8468,7220
4017,8465
1204,1207
4802,8472
3917,8907
4403,4404
4002,6004
8712,4011
7325,8411
2716,7221
5505,5802
7419,8710
5510,5211
5403,9113
8514,2846
5510,6205
7616,8535
8540,8526
7223,7316
5112,6202
7405,8703
7203,7218
5511,5810
7603,8704
5302,6112
2823,6910
4113,8704
7002,7020
7218,7323
5405,6216
3903,8714
7207,8706
5501,6216
5801,6405
506,3504
8407,8412
5506,5512
5401,6113
8541,9106
4821,4817
8444,5508
3909,5402
1517,2105
2823,3209
5503,4304
2716,9007
2922,3908
3207,7014
5111,5602
5606,6306
7219,7304
3912,9113
6006,6308
2804,3815
2617,7801
7215,8454
7209,7321
5306,6215
6813,8408
5401,8440
2918,3405
8514,7007
7410,8516
7020,8539
7219,8604
7222,8508
7606,9114
501,6703
5303,6214
5106,6117
8209,8463
4105,4303
8504,9106
7019,6304
8487,8475
3815,2924
8451,5204
5605,6206
8501,8502
7603,3304
7019,5806
7224,8501
3001,3001
2505,6809
4403,6808
7408,8537
9104,8803
8417,7218
8546,8519
5201,6206
4013,8803
7406,7402
7326,8418
5309,5702
504,2104
2834,704
7306,8408
8477,6004
1404,710
7325,7316
8458,7221
5501,5511
2901,2912
5902,8446
3809,5803
8102,7220
8455,8481
5810,6504
7224,7318
5210,5905
7212,8307
7220,8466
7602,8301
7217,8516
4802,4902
4004,6404
7602,8532
2814,3601
5001,6307
8002,8803
3204,8442
5006,5705
3208,8703
8463,7305
2849,8483
7606,8479
6305,807
7604,8539
8518,8519
205,2301
3505,3809
5309,6203
8456,8208
5307,6507
8474,2614
3208,3213
7202,8483
7602,8483
5810,6108
5203,6101
2849,7229
2942,2929
5302,5801
8307,8903
8456,7218
7203,7303
2817,6903
7603,9112
4404,4417
5106,6110
1207,2308
3903,5801
7203,8504
5807,6103
4004,4007
8475,7010
5605,5811
8432,806
2907,3909
7613,8704
3902,6117
4818,4818
3205,3003
5001,6104
8451,6304
2942,2909
6215,6204
8101,8457
7214,8466
8805,8803
5401,5516
7310,2916
8502,8537
808,810
6307,6303
7201,7205
2807,2930
5210,5911
7215,8433
1602,210
7605,8513
9033,8510
9024,6002
601,709
4003,5607
2817,3004
8431,8459
3205,3307
4115,6602
8417,7212
8213,6204
2008,2009
7603,7117
2821,7210
1520,3005
7601,8609
8445,5502
4805,4820
8110,3210
8418,210
5606,5809
6307,6505
8453,4202
8448,5516
5105,5111
7205,8606
8454,7206
8543,8450
7320,8710
7505,8431
5501,5405
4403,4409
2713,8416
2836,3907
7224,7321
3904,6209
5503,6108
4805,4902
8402,4810
5606,8447
814,2006
7410,8703
7213,7216
7107,9209
1522,3305
2526,6902
7326,8426
7222,8404
1204,5301
2942,3207
5113,5808
5211,6205
7505,8501
5902,6108
7309,8438
7616,5605
8207,8463
3213,3212
2808,3920
8534,8514
5504,5210
8456,7115
5603,5908
9102,9114
2604,7219
8209,8461
7902,8309
4804,4820
2908,3812
5203,6217
3203,5704
5402,5801
5506,5408
5201,6216
8307,8413
2810,3304
2509,3207
1103,1905
3901,8530
8501,2716
1509,1902
7208,8903
5502,6215
9026,9031
7108,9110
8544,8601
7901,8309
3809,5107
7325,8454
7603,3209
7221,8608
2716,7220
2938,3307
7218,8537
5303,5805
7220,8418
5201,6003
7304,8479
7214,8204
7226,8428
3208,4407
7310,7321
8705,8426
7212,8424
6005,6113
5801,5910
3809,4817
7210,7324
3102,1005
8535,8415
5206,6107
7223,8409
5502,6109
4011,8432
803,2007
7612,2008
4821,4910
4303,6216
7103,7105
7601,8305
7228,8802
6005,5905
5514,6506
9030,8542
1201,1208
2506,3816
7220,8716
3806,3911
1007,2207
2601,7219
7801,7804
1503,1517
4008,8546
5210,6504
4908,6910
7606,8418
7419,8419
5309,8715
5512,8804
5903,6208
6105,6109
8484,8413
4203,6403
2940,3004
7406,3207
7411,8805
7209,8907
2904,3204
7211,8424
7221,8503
5402,5515
2711,3902
7804,8535
2820,3212
8102,8311
7413,9202
8468,8417
4001,5910
7203,8906
7221,8479
8420,4910
3912,4809
7307,8704
3925,8465
2304,2106
6904,6908
3919,3005
7605,8481
7209,8716
2716,7215
7801,8512
3105,2008
2826,7020
5113,5909
7607,7607
1506,209
2839,8480
2907,3207
8308,6210
2607,9303
5203,5210
7604,8428
7221,9304
7606,8302
4707,4819
5609,8447
7607,8484
7207,8203
5210,6203
8532,8503
7502,9302
3701,3702
1511,1806
5512,6301
8535,8476
2916,3208
2607,7802
7409,8714
3904,8537
8445,5002
7103,7113
